a1,a6,a2,a4,a3
656,75952,Lv.19,99,22
162,0,Lv.10,35,24
2262,277542,Lv.45,924,221
670,0,Lv.17,24,112
20,0,Lv.3,0,12
319,23671,Lv.14,31,20
1036,8521,Lv.16,14,27
604,31313,Lv.22,221,56
434,8749,Lv.20,57,62
26,1194,Lv.8,0,21
10,0,Lv.2,0,7
386,12278,Lv.15,9,11
415,219952,Lv.33,1206,6
12,0,Lv.4,0,1
523,8374,Lv.23,166,158
140,9327,Lv.8,7,25
64,3447,Lv.9,5,10
260,0,Lv.33,27,334
1803,0,Lv.29,14,112
160,5465,Lv.16,13,35
1725,121577,Lv.35,453,84
5,0,Lv.13,5,42
0,0,Lv.14,9,19
723,940035,Lv.45,6840,135
529,15183,Lv.32,66,980
a1,a6,a2,a4,a3
162,0,Lv.10,35,24
2262,277542,Lv.45,924,221
670,0,Lv.17,24,112
20,0,Lv.3,0,12
319,23671,Lv.14,31,20
1036,8521,Lv.16,14,27
604,31313,Lv.22,221,56
434,8749,Lv.20,57,62
26,1194,Lv.8,0,21
10,0,Lv.2,0,7
386,12278,Lv.15,9,11
415,219952,Lv.33,1206,6
12,0,Lv.4,0,1
523,8374,Lv.23,166,158
140,9327,Lv.8,7,25
64,3447,Lv.9,5,10
260,0,Lv.33,27,334
1803,0,Lv.29,14,112
160,5465,Lv.16,13,35
1725,121577,Lv.35,453,84
5,0,Lv.13,5,42
0,0,Lv.14,9,19
723,940036,Lv.45,6840,135
529,15183,Lv.32,66,980
0,0,Lv.17,1185,28
101,0,Lv.5,1,15
36,0,Lv.3,0,7
1112,626,Lv.19,36,86
78,6163,Lv.11,6,111
2267,22142,Lv.20,62,54
45,5123,Lv.9,4,48
90,7906,Lv.15,35,182
27,876,Lv.6,12,16
211,34776,Lv.23,225,80
377,33094,Lv.15,23,11
16,0,Lv.4,0,10
57,16889,Lv.5,11,42
1031,56840,Lv.24,127,86
536,2944,Lv.17,46,70
818,71091,Lv.24,151,17
568,969,Lv.19,178,249
12,0,Lv.5,14,13
3617,16244,Lv.26,367,454
0,0,Lv.13,1188,22
158,2512,Lv.13,30,9
0,0,Lv.15,1192,21
2167,88757,Lv.27,464,134
0,0,Lv.12,11,21
0,0,Lv.18,1182,31
0,0,Lv.12,17,21
0,0,Lv.18,1200,2683
0,0,Lv.19,1192,27
0,0,Lv.17,1200,37
0,0,Lv.20,1179,2800
0,0,Lv.17,9,16
0,0,Lv.16,1201,2602
0,0,Lv.18,1185,39
0,0,Lv.9,1181,31
103,3847,Lv.14,7,7
0,0,Lv.15,1191,17
0,0,Lv.17,1166,28
0,0,Lv.18,1193,35
958,13776,Lv.24,85,88
68,0,Lv.17,13,11
500,100752,Lv.23,101,72
4484,5068,Lv.25,58,59
199,4075,Lv.6,3,16
144,7612,Lv.6,1,13
821,9898,Lv.18,76,145
340,0,Lv.10,6,10
665,2029195,Lv.45,12111,1327
68,2976,Lv.16,5,22
908,26514,Lv.27,519,178
951,54999,Lv.33,158,337
434,192628,Lv.23,1119,125
428,5631,Lv.16,39,45
11,0,Lv.19,11,37
435,114963,Lv.11,12,17
