a1,a6,a2,a4,a3
0,0,Lv.16,1195,35
0,0,Lv.17,1170,28
0,0,Lv.15,1196,36
0,0,Lv.15,1176,24
0,0,Lv.14,1179,18
0,0,Lv.16,1178,20
0,0,Lv.19,7,20
0,0,Lv.19,1189,2645
0,0,Lv.19,1195,2544
0,0,Lv.18,1189,27
0,0,Lv.17,1187,28
0,0,Lv.17,4,27
0,0,Lv.15,1195,26
0,0,Lv.18,1179,32
0,0,Lv.20,1197,18
0,0,Lv.19,1173,19
0,0,Lv.11,1165,30
0,0,Lv.15,1193,17
0,0,Lv.19,1190,26
0,0,Lv.16,1178,21
0,0,Lv.17,10,19
0,0,Lv.15,1181,26
0,0,Lv.17,1163,22
0,0,Lv.16,1179,21
0,0,Lv.20,1205,43
0,0,Lv.17,1202,24
0,0,Lv.16,1197,24
0,0,Lv.18,1206,29
0,0,Lv.16,1187,2595
0,0,Lv.17,1203,29
0,0,Lv.19,1187,25
0,0,Lv.15,1186,2747
0,0,Lv.19,1199,2726
0,0,Lv.15,1188,45
0,0,Lv.19,1183,2486
0,0,Lv.16,1183,27
207,8406,Lv.22,57,13
0,0,Lv.19,1192,2668
0,0,Lv.13,1166,23
0,0,Lv.13,1188,2721
0,0,Lv.18,13,15
0,0,Lv.15,1173,16
0,0,Lv.19,1201,28
0,0,Lv.16,1187,20
0,0,Lv.11,1185,24
0,0,Lv.18,1188,26
0,0,Lv.19,16,12
0,0,Lv.13,1179,26
0,0,Lv.15,1206,23
0,0,Lv.15,1184,31
0,0,Lv.15,1161,19
0,0,Lv.16,8,24
0,0,Lv.14,1177,21
0,0,Lv.17,3,17
0,0,Lv.9,1188,21
0,0,Lv.17,1182,29
0,0,Lv.13,1180,41
0,0,Lv.19,1198,36
0,0,Lv.18,1196,32
0,0,Lv.17,1171,26
0,0,Lv.17,1173,26
0,0,Lv.19,1193,36
0,0,Lv.18,1186,27
0,0,Lv.14,9,22
0,0,Lv.20,1194,2504
0,0,Lv.18,1194,27
0,0,Lv.19,1182,18
0,0,Lv.19,6,17
0,0,Lv.20,14,14
0,0,Lv.15,1178,23
0,0,Lv.12,1163,32
0,0,Lv.18,6,19
0,0,Lv.16,1196,25
0,0,Lv.18,20,19
0,0,Lv.13,1187,22
0,0,Lv.15,5,28
0,0,Lv.17,1181,26
0,0,Lv.18,1169,21
0,0,Lv.19,1193,26
0,0,Lv.17,1187,23
0,0,Lv.15,1190,21
0,0,Lv.19,7,23
0,0,Lv.19,1182,34
0,0,Lv.16,9,17
0,0,Lv.15,8,13
0,0,Lv.15,1198,26
0,0,Lv.18,1180,29
0,0,Lv.18,10,14
0,0,Lv.17,9,17
0,0,Lv.19,1179,22
0,0,Lv.17,1175,28
0,0,Lv.20,1166,23
0,0,Lv.13,7,18
0,0,Lv.18,1174,19
0,0,Lv.15,1165,32
0,0,Lv.15,1184,22
0,0,Lv.9,1206,19
0,0,Lv.15,1180,19
0,0,Lv.17,1172,20
0,0,Lv.18,1168,19
0,0,Lv.18,1178,24
0,0,Lv.20,1192,2706
0,0,Lv.15,1177,2450
0,0,Lv.15,11,15
0,0,Lv.17,1171,16
0,0,Lv.17,1175,20
0,0,Lv.19,1179,2427
0,0,Lv.13,1172,24
0,0,Lv.15,1191,361
0,0,Lv.15,1190,2553
0,0,Lv.16,1169,26
0,0,Lv.18,9,21
0,0,Lv.15,15,20
0,0,Lv.12,1200,2678
0,0,Lv.19,1182,17
0,0,Lv.20,1180,2492
0,0,Lv.19,7,13
0,0,Lv.17,1188,22
0,0,Lv.12,1181,2514
0,0,Lv.19,1175,15
0,0,Lv.17,1188,34
0,0,Lv.14,1168,29
0,0,Lv.11,1190,20
0,0,Lv.18,14,26
0,0,Lv.15,1197,26
0,0,0,0,0
0,0,Lv.16,1180,18
0,0,Lv.18,9,15
0,0,Lv.19,1191,33
0,0,Lv.10,1188,12
0,0,Lv.16,1178,35
0,0,Lv.19,1175,16
0,0,Lv.13,1183,27
0,0,Lv.15,13,15
0,0,Lv.18,1198,16
0,0,Lv.17,1193,18
0,0,Lv.15,6,24
0,0,Lv.14,1177,32
0,0,Lv.17,11,18
0,0,Lv.17,1200,33
0,0,Lv.15,1181,10
0,0,Lv.15,1189,27
0,0,Lv.17,1166,28
0,0,Lv.16,1175,23
0,0,Lv.15,11,19
0,0,Lv.16,1177,26
0,0,Lv.18,1160,30
0,0,Lv.14,15,21
0,0,Lv.16,1170,24
0,0,Lv.15,1192,28
0,0,Lv.19,1166,29
0,0,Lv.17,1186,2672
0,0,Lv.17,1202,25
0,0,Lv.17,1186,21
0,0,Lv.17,4,18
0,0,Lv.16,1177,20
0,0,Lv.16,1169,18
0,0,Lv.11,1195,23
0,0,Lv.20,1179,24
0,0,Lv.14,1187,27
0,0,Lv.19,1174,31
0,0,Lv.15,1188,30
0,0,Lv.19,1186,2592
0,0,Lv.18,11,16
0,0,Lv.13,1191,32
0,0,Lv.20,1188,2703
0,0,Lv.15,1197,2735
0,0,Lv.16,1200,21
0,0,Lv.17,1167,25
0,0,Lv.16,7,22
0,0,Lv.9,1193,23
0,0,Lv.16,1188,26
0,0,Lv.12,1184,18
0,0,Lv.17,1177,14
0,0,Lv.16,1187,22
0,0,Lv.17,1182,29
0,0,Lv.13,1164,20
0,0,Lv.17,6,16
0,0,Lv.17,15,20
0,0,Lv.18,1208,28
0,0,Lv.9,1203,2573
0,0,Lv.10,9,20
0,0,Lv.16,1184,2412
0,0,Lv.15,1200,132
0,0,Lv.10,1182,39
0,0,Lv.16,1181,26
0,0,Lv.18,1172,26
0,0,Lv.15,4,24
0,0,0,0,0
908,26514,Lv.27,519,178
0,0,Lv.16,1186,27
0,0,Lv.18,1193,38
0,0,Lv.13,1171,2354
0,0,Lv.15,1206,42
0,0,Lv.17,1176,24
0,0,Lv.15,1176,24
0,0,Lv.15,11,21
0,0,Lv.14,1185,24
0,0,Lv.17,1196,28
0,0,Lv.15,1198,35
0,0,Lv.17,1182,23
0,0,Lv.16,1166,32
0,0,Lv.18,1202,2415
0,0,Lv.18,1165,20
0,0,Lv.14,1187,21
0,0,Lv.18,1182,19
3,0,Lv.3,0,10
0,0,Lv.18,1192,23
0,0,Lv.20,13,22
0,0,Lv.10,1174,29
45,0,Lv.15,15,152
0,0,Lv.15,1189,2777
821,9898,Lv.18,76,145
